Enzyme	Concentration
R_rxn12512_c_enzyme	0.0
R_rxn05404_c_enzyme	0.0
R_rxn09197_c_enzyme	0.0
R_rxn04726_c_duplicate_6_enzyme	0.0
R_rxn05871_c_duplicate_5_enzyme	0.0
R_rxn02680_c_duplicate_2_enzyme	0.0
R_rxn00708_c_duplicate_3_enzyme	0.0
R_rxn02090_c_enzyme	0.0
R_rxn00337_c_duplicate_2_enzyme	0.0
R_rxn00157_c_enzyme	0.0
R_rxn02914_c_enzyme	0.0
R_rxn05170_c_enzyme	0.0
R_rxn05248_c_duplicate_4_enzyme	0.0
R_rxn05425_c_enzyme	0.0
R_rxn08851_c_enzyme	0.0
R_rxn03958_c_enzyme	3.215384000609088e-07
R_rxn00406_c_enzyme	0.0
R_rxn03919_c_enzyme	0.0
R_rxn02406_c_enzyme	0.0
R_rxn00778_c_enzyme	0.0
R_rxn05247_c_duplicate_5_enzyme	0.0
R_rxn00726_c_duplicate_2_enzyme	0.0
R_rxn05434_c_enzyme	0.0
R_rxn00568_c_duplicate_4_enzyme	0.0
R_rxn00527_c_duplicate_6_enzyme	0.0
R_rxn05368_c_enzyme	0.0
R_rxn00568_c_duplicate_3_enzyme	0.0
R_rxn08306_c_enzyme	0.0
R_rxn05421_c_enzyme	0.0
R_rxn03421_c_enzyme	8.483750875606097e-10
R_rxn03146_c_enzyme	8.252992851789608e-08
R_rxn00914_c_enzyme	0.0
R_rxn03135_c_enzyme	3.455424694601562e-06
R_rxn02391_c_enzyme	0.0
R_rxn02345_c_enzyme	0.0
R_rxn04744_c_duplicate_2_enzyme	0.0
R_rxn05374_c_enzyme	0.0
R_rxn01216_c_enzyme	0.0
R_rxn04271_c_enzyme	0.0
R_rxn04599_c_enzyme	0.0
R_rxn00192_c_enzyme	0.0
R_rxn00338_c_enzyme	1.7469120634647517e-06
R_rxn07219_c_duplicate_2_enzyme	0.0
R_rxn38837_c_duplicate_2_enzyme	0.0
R_rxn03239_c_duplicate_2_enzyme	5.897394583668819e-07
R_rxn00806_c_enzyme	6.163795186035819e-07
R_rxn05116_c_enzyme	0.0
R_rxn06098_c_enzyme	0.0
R_rxn05561_c_duplicate_2_enzyme	0.0
R_rxn01739_c_enzyme	5.694949939303387e-07
R_rxn00361_c_duplicate_2_enzyme	0.0
R_rxn11040_c_enzyme	0.0
R_rxn03287_c_enzyme	0.0
R_rxn04723_c_duplicate_2_enzyme	0.0
R_rxn12636_c_duplicate_4_enzyme	0.0
R_rxn05256_c_enzyme	1.308716098841729e-06
R_rxn09210_c_enzyme	0.0
R_rxn01750_c_enzyme	0.0
R_rxn09005_c_enzyme	0
R_rxn03095_c_enzyme	0.0
R_rxn02853_c_duplicate_4_enzyme	0.0
R_rxn01678_c_enzyme	0.0
R_rxn05872_c_enzyme	0.0
R_rxn03248_c_duplicate_3_enzyme	0.0
R_rxn00709_c_enzyme	0.0
R_rxn00509_c_enzyme	0.0
R_rxn00065_c_duplicate_2_enzyme	0.0
R_rxn14112_c_enzyme	0.0
R_rxn27735_c_enzyme	2.039281616723815e-06
R_rxn05454_c_enzyme	0.0
R_rxn12641_c_duplicate_3_enzyme	0.0
R_rxn01257_c_duplicate_2_enzyme	0.0
R_rxn10343_c_duplicate_2_enzyme	0.0
R_rxn14293_c_enzyme	0.0
R_rxn12642_c_duplicate_4_enzyme	0.0
R_rxn02290_c_enzyme	0.0
R_rxn00831_c_duplicate_2_enzyme	0.0
R_rxn05444_c_enzyme	0.0
R_rxn12633_c_duplicate_2_enzyme	0.0
R_rxn09296_c_duplicate_4_enzyme	0.0
R_rxn05298_c_duplicate_3_enzyme	0.0
R_rxn05682_c_enzyme	0.0
R_rxn00988_c_duplicate_4_enzyme	0.0
R_rxn00248_c_enzyme	0.0
R_rxn10220_c_enzyme	0.0
R_rxn05289_c_duplicate_2_enzyme	3.8569968081919634e-07
R_rxn02312_c_enzyme	4.2418754378030465e-12
R_rxn00363_c_duplicate_3_enzyme	0.0
R_rxn03883_c_enzyme	0.0
R_rxn08297_c_duplicate_2_enzyme	0.0
R_rxn10207_c_enzyme	0.0
R_rxn09979_c_enzyme	0.0
R_rxn00721_c_enzyme	0.0
R_rxn10235_c_enzyme	0.0
R_rxn02762_c_enzyme	0.0
R_rxn10199_c_enzyme	0.0
R_rxn11759_c_enzyme	0.0
R_rxn39451_c_enzyme	4.5443455822124653e-07
R_rxn11040_c_duplicate_2_enzyme	0.0
R_rxn08901_c_enzyme	0.0
R_rxn00355_c_enzyme	0.0
R_EX_cpd00039_e_enzyme	0
R_rxn05466_c_duplicate_2_enzyme	1.5704247329292667e-05
R_rxn00178_c_duplicate_6_enzyme	0.0
R_rxn05249_c_duplicate_7_enzyme	0.0
R_rxn05221_c_enzyme	0.0
R_rxn04938_c_enzyme	0.0
R_rxn10174_c_enzyme	0.0
R_rxn05170_c_duplicate_2_enzyme	0.0
R_rxn05400_c_duplicate_2_enzyme	0.0
R_rxn11721_c_enzyme	0.0
R_rxn12646_c_duplicate_4_enzyme	0.0
R_rxn05233_c_enzyme	1.4274122941979139e-08
R_rxn00604_c_enzyme	8.294546591293872e-07
R_rxn03980_c_enzyme	0.0
R_rxn06197_c_duplicate_2_enzyme	0.0
R_rxn01129_c_enzyme	0.0
