R_rxn00808_c_enzyme	1xPN96_22130
R_rxn00816_c_enzyme	1xPN96_15945
R_rxn00817_c_enzyme	1xPN96_21200
R_rxn00817_c_duplicate_2_enzyme	1xPN96_07690
R_rxn00818_c_enzyme	1xPN96_21200
R_rxn00818_c_duplicate_2_enzyme	1xPN96_07690
R_rxn00830_c_enzyme	1xPN96_20670
R_rxn00830_c_duplicate_2_enzyme	1xPN96_17180
R_rxn00831_c_enzyme	1xPN96_20755
R_rxn00831_c_duplicate_2_enzyme	1xPN96_07525
R_rxn00831_c_duplicate_3_enzyme	1xPN96_09695
R_rxn00832_c_enzyme	1xPN96_00180
R_rxn00834_c_enzyme	4xPN96_10430
R_rxn00835_c_enzyme	1xPN96_20835
R_rxn00835_c_duplicate_2_enzyme	1xPN96_07825
R_rxn00836_c_enzyme	1xPN96_01355
R_rxn00837_c_enzyme	4xPN96_18240
R_rxn00838_c_enzyme	2xPN96_14575
R_rxn00838_c_duplicate_2_enzyme	2xPN96_17475
R_rxn00839_c_enzyme	4xPN96_10485
